key,name,max.round,pct.first.serve.in,aces,double.faults,unforced.errors,1st.serve.win.pct,2nd.serve.win.pct,winners,receiving.pts.won,break.point.conv,net.approaches,total.points.won,fastest.serve.speed,ave.1st.serve.speed,ave.2nd.serve.speed,sets.played,tie.breaks.played,total.games,return.games.won,server.points.won,tournament,SPW.by.TG,RGW.by.TG,W.by.UE
wta160515,Pauline Parmentier,1,71,3,5,5,61,36,3,38,100,NA,69,NA,NA,NA,3,0,25,3,41,AUS.2013,1.64,0.12,0.6
wta190666,Francesca Schiavone,1,46,3,7,23,66,45,21,38,40,79,82,108.118554,97.555247,83.885085,3,0,26,4,49,AUS.2013,1.884615385,0.153846154,0.913043478
wta190873,Chanelle Scheepers,1,61,NA,6,6,39,28,NA,39,100,NA,36,NA,NA,NA,2,0,15,2,16,AUS.2013,1.066666667,0.133333333,NA
wta310169,Jarmila Gajdosova,1,57,6,6,41,55,27,18,39,27,0,49,117.439119,104.390328,82.642343,2,0,19,3,22,AUS.2013,1.157894737,0.157894737,0.43902439
wta310419,Galina Voskoboeva,1,58,1,4,20,52,24,12,31,0,50,34,103.147586,93.20565,77.050004,2,0,13,0,20,AUS.2013,1.538461538,0,0.6
wta310431,Mandy Minella,1,62,3,0,0,50,52,3,31,67,NA,53,NA,NA,NA,2,1,20,2,36,AUS.2013,1.8,0.1,Inf
wta310625,Vera Dushevina,1,59,4,4,27,72,44,20,39,33,55,91,106.254441,95.691134,75.185891,3,0,30,4,47,AUS.2013,1.566666667,0.133333333,0.740740741
wta310717,Olga Puchkova,1,61,0,2,19,27,29,4,30,0,67,23,106.875812,99.41936,86.99194,2,0,12,0,10,AUS.2013,0.833333333,0,0.210526316
wta310730,Casey Dellacqua,1,71,2,0,28,56,52,13,39,38,75,70,96.933876,91.341537,81.399601,2,1,23,3,40,AUS.2013,1.739130435,0.130434783,0.464285714
wta310761,Sara Errani,1,85,NA,2,30,38,33,12,52,60,13,55,86.99194,77.671375,67.108068,2,0,20,6,23,AUS.2013,1.15,0.3,0.4
wta310775,Monica Niculescu,1,49,3,2,31,65,17,14,38,33,59,43,105.63307,95.691134,70.214923,2,0,17,2,19,AUS.2013,1.117647059,0.117647059,0.451612903
